Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162008;      Grevenbroich, Stadt;63743
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162012;      Jüchen, Stadt;23294
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162016;      Kaarst, Stadt;43493
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162020;      Korschenbroich, Stadt;33251
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162022;      Meerbusch, Stadt;56415
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162024;      Neuss, Stadt;153896
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162028;      Rommerskirchen;13298
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166;    Viersen, Kreis;298863
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166004;      Brüggen;15745
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166008;      Grefrath;14753
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166012;      Kempen, Stadt;34514
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166016;      Nettetal, Stadt;42496
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166020;      Niederkrüchten;15557
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166024;      Schwalmtal;18969
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166028;      Tönisvorst, Stadt;29336
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166032;      Viersen, Stadt;77102
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05166036;      Willich, Stadt;50391
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170;    Wesel, Kreis;459976
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170004;      Alpen;12479
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170008;      Dinslaken, Stadt;67373
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170012;      Hamminkeln, Stadt;26858
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170016;      Hünxe;13598
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170020;      Kamp-Lintfort, Stadt;37596
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170024;      Moers, Stadt;103902
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170028;      Neukirchen-Vluyn, Stadt;27187
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170032;      Rheinberg, Stadt;30854
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170036;      Schermbeck;13602
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170040;      Sonsbeck;8673
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170044;      Voerde (Niederrhein), Stadt;36017
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170048;      Wesel, Stadt;60230
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05170052;      Xanten, Stadt;21607
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;053;  Köln, Regierungsbezirk;4478847
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05314;    Bonn, krfr. Stadt;329673
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05315;    Köln, krfr. Stadt;1087863
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05316;    Leverkusen, krfr. Stadt;163729
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334;    Städteregion Aachen (einschl. Stadt Aachen);557026
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334002;      Aachen, krfr. Stadt (ab 21.10.2009);248960
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334004;      Alsdorf, Stadt (ab 21.10.2009);47149
